trddy,mkt_rf,smb,hml,umd,rmw,cma,rf,smb_equal,hml_equal,umd_equal,rmw_equal,cma_equal
2008/12/15,0.012491005,0.007841456,0.005737826,0.007271742,-0.010543607,0.001432286,0.000068,0.002613099,0.006285022,0.006405184,-0.004124293,-0.002590115
2008/12/16,0.01360658,0.004236786,-0.008359164,0.00092328,0.007071022,-0.012625709,0.000068,0.0018544,-0.005689568,0.000189309,0.007497602,-0.005124071
2008/12/17,0.00958848,0.005992106,-0.004159598,-0.000749603,-0.002460801,0.001899905,0.000068,0.002708109,-0.003854738,-0.004858109,0.00032738,0.002837929
2008/12/18,0.01551944,0.004491298,-0.006493881,-0.011966102,0.000735385,0.001733284,0.000068,0.001879689,-0.005509864,-0.008950334,0.000569021,0.002692318
2008/12/19,0.006902209,0.003907823,-0.001298322,0.003382665,-0.00065485,0.000709971,0.000068,0.001907311,-0.00274537,-0.000930125,0.001652302,0.000178817
2008/12/22,-0.008263385,0.020584924,-0.010739297,0.000863315,-0.016079465,0.017127161,0.000068,0.016110897,-0.011521829,-0.005413356,-0.008515468,0.009932595
2008/12/23,-0.057126855,-0.009340557,-0.003968856,0.011394799,0.008027567,-0.001130415,0.000061,-0.002945059,-0.00421633,0.006701088,-0.001431402,0.005417094
2008/12/24,-0.021213339,4.77E-06,-0.003735321,-0.002368065,0.000987986,0.003103723,0.000061,-0.000836353,0.000395675,-0.00075406,0.001112697,0.004106628
2008/12/25,-0.006218316,0.005263771,0.000196752,0.003537677,-0.005893771,-0.001603142,0.000061,0.004653415,-0.000523612,0.007127937,-0.006690741,-0.003753204
2008/12/26,-0.007642433,0.001403105,-0.003041894,-0.002452901,0.004616022,0.002815103,0.000061,0.004888824,-0.007176771,-0.000688688,0.00364528,-0.001085766
2008/12/29,-0.000457894,-0.00717736,0.000654676,0.008766565,0.000933729,-0.005328842,0.000061,-0.008045323,-0.001196513,0.005936851,0.003948029,-0.003186203
2008/12/30,-0.009042004,0.007082586,-0.007517099,0.011301926,-0.003701805,0.000640389,0.000061,0.006874967,-0.007167952,0.006630478,-0.001602762,-0.000350843
2008/12/31,-0.011814628,-0.004569633,0.000422671,0.012463367,0.007205266,-0.0047043,0.000061,0.00061219,-0.002615729,0.007900219,0.006857181,-0.002266882
2009/1/5,0.039059346,0.005592204,0.007520235,-0.023590951,-0.002263612,-0.005494341,0.000061,0.000677302,0.002546933,-0.006611209,0.003943764,-0.006457652
2009/1/6,0.033387107,0.003298828,0.002865037,-0.026603069,-0.000559012,-0.000218917,0.000061,-0.000776367,0.00108155,-0.016134546,0.001803961,-0.002817161
2009/1/7,0.000175627,0.006829358,-0.000974724,-0.007990581,-0.006794316,-0.000189048,0.000061,0.001791651,-0.001516456,-0.006594037,-0.002008893,-0.001647686
2009/1/8,-0.020728567,-0.003128296,-0.005044845,0.006002421,0.003463422,-0.009830517,0.000061,0.000514336,-0.003659825,0.00282406,0.002771105,-0.003104414
2009/1/9,0.022033485,0.010065072,-0.000665927,-0.005160602,-0.00336871,4.33484E-05,0.000061,0.005773383,-0.000333778,-0.000539967,0.004032816,-0.002127431
2009/1/12,0.006553466,0.010061848,0.000912188,-0.009419695,-0.010526966,0.003861779,0.000061,0.002194513,0.002011787,-0.00723756,-0.002983062,0.000930974
2009/1/13,-0.026541654,-0.003040247,0.008042087,-0.000891323,-0.00597519,0.001011666,0.000061,-0.001693995,0.007867429,0.000337173,-0.007338267,0.001024961
2009/1/14,0.037429247,0.001538621,-0.0016076,-0.01235624,0.002954181,-0.006439633,0.000061,-0.001824458,-0.002401258,-0.006692386,0.005168573,-0.007413495
2009/1/15,0.005499607,0.006961997,-0.000725984,-0.005229847,-0.01027444,0.005232616,0.000061,0.00017752,-0.000620772,-0.007998466,-0.004163804,0.000535974
2009/1/16,0.011764565,-0.009821248,-0.000967477,-0.014508516,0.005690138,-0.00562818,0.000061,-0.007229504,-0.001290909,-0.010019416,0.005884617,-0.002018402
2009/1/19,0.004491476,-0.005861819,-0.000205887,-0.00129663,0.006469786,-0.003001296,0.000061,-0.00082346,0.000337198,-0.000563063,0.001051579,0.000332137
2009/1/20,0.006670402,0.004027323,-0.001466989,-0.005271996,-0.00309281,0.001880664,0.000061,0.001366685,-0.001204548,0.000910223,-0.000388756,-0.000063688
2009/1/21,-0.004254616,0.002959506,0.001579479,-0.010536138,-0.006235974,-0.001340736,0.000061,-0.000904608,0.00317778,-0.004836725,-0.001618428,-0.001580341
2009/1/22,0.016132704,-0.001031569,-0.004663806,-0.012519257,0.006907523,-0.002139499,0.000061,-0.003887237,-0.004483847,-0.008149744,0.004083083,-0.003046151
2009/1/23,-0.003705838,-0.004837506,0.00115066,0.002149975,-0.004231866,0.003387094,0.000061,-0.001466625,-0.000315115,0.001246824,-0.003850992,0.002187664
2009/2/2,0.023255319,0.010345346,0.000404527,-0.003561985,-0.021019386,0.006313186,0.000061,0.00284931,0.001261524,-0.00702109,-0.006729739,0.006261862
2009/2/3,0.025154878,0.005476714,0.00029911,-0.013929359,-0.001600001,0.00144215,0.000061,0.001653214,0.002023435,-0.015138569,-0.00051804,-0.000371247
2009/2/4,0.020760595,-0.001186388,0.002184143,-0.014633178,-0.004989217,0.001700568,0.000061,-0.003504678,0.001536317,-0.010462778,-0.001750813,-0.001280535
